为防范利用寄递渠道贩毒问题，国家邮政局要求物流寄递企业严格落实“（ ）、寄件验视、过机安检”三项制度。,C
申请成为禁毒志愿者的年龄要求是（ ）。,D
非法持有甲基苯丙胺（即冰毒）（ ）以上的，构成非法持有毒品罪。,B
强迫他人吸毒、注射毒品的，处（ ）有期徒刑，并处罚金。,C
2018 年国家禁毒委员会办公室、公安部、财政部根据《中华人民共和国禁毒法》等有关规定制定《毒品违法犯罪举报奖励办法》。该办法规定，举报吸食、注射毒品后驾驶机动车的，每抓获 1 人，奖励（ ）元。,C
《中华人民共和国刑法》规定非法种植罂粟（ ） 株以上构成犯罪。,B
要拒绝毒品，我们除了要知道什么是毒品、知道毒品极易成瘾、知道毒品的危害，还要（ ） 。,D
一位“朋友”以“参加朋友聚会”为由将你带至他的家中，然后提出玩点“小刺激”，引诱你使用某种物品，你应该选择的拒绝方式是（ ）,D
禁毒民警检查某娱乐场所时，被两男子的交谈内容“吸引”，不时可以听到“壶”、“溜了几口”等话语，通过这些敏感词，民警即时判断出来，这极有可能是两名吸食（ ）人员。,A
止咳水通常含有可待因、麻黄碱等成分，（ ）服用可形成心理依赖，戒断症状类似海洛因毒品。,A
《中华人民共和国刑法》规定，走私、贩卖、运输、制造鸦片一千克以上、海洛因或者甲基苯丙胺（ ）克以上或者其他毒品数量大的，处十五年有期徒刑、无期徒刑或者死刑，并处没收财产。,C
麻古具有强烈的兴奋和致幻功能，吸食后容易造成人体中枢神经（ ）的损伤。,A
人们常说“毒品猛于虎”，毒品的危害除了对身心的危害，严重摧残吸毒者的身体之外，还包括（ ） 。,D
长期吸毒会使吸毒者沉溺于虚幻的自我体验中而不能自拔，使其丧失对生活的热爱、丧失对人际交往的兴趣，而这反映毒品对青少年（ ） 的危害。,B
吸毒成瘾一般具有哪些特征？,D
你的同学或者好朋友把你介绍给他的朋友们，这些人私密的聚在某人家里或者类似娱乐场所的地方，使用一些粉末、片剂或者类似香烟的东西。还请你品尝，你应该如何应对（ ） 。,D
作为一名学生，可以为禁毒工作做些什么？（ ）,D
下列选项中属于禁毒志愿者义务的是。（ ）,D
要构筑拒毒心理防线，我们需要做到（ ）。,D
青少年如何防止吸毒?（ ）,
预防吸毒的有效措施有（ ） 。,D
以下属于青少年所面临的毒品诱惑是（ ） 。,D
吸毒者最初“品尝”第一口毒品时，或多或少是受到一种不健康心理的驱动。那么，吸毒者都有什么样的不健康心理呢？（ ）,D
吸毒危害人体的正常生理机能和新陈代谢，并导致多种疾病，吸毒过量还会造成什么后果？（ ）,D
吸毒的危害有哪些方面？（ ）,D
下列选项中属于吸毒成瘾的表现的是（ ） 。,D
毒品的基本特征是：（ ）,D
对众多青少年吸毒者进行调查，吸毒的原因主要有（ ） 。,D
把不明物质置于锡纸、器皿中，用打火机点燃，由下面加热使毒品产生烟雾，然后用嘴与鼻子吸入烟气。这可能是在吸食：,D
利用未成年人运输毒品的按照《刑法》规定如何处罚（ ）,C
当在你身边出现毒品时，正确的做法是（ ）。,C
新型毒品正潜伏在青少年身边，警方从一位初中生书包中搜出一些花里胡哨的贴纸，类似小孩玩的贴画，经验证这是（ ），是一种新型毒品。,B
“金三角”是指泰国、缅甸、（ ）三国交界的地方（一个区域）。,A
南美的（ ）、秘鲁、玻利维亚是可卡因的最大生产基地。（ ）,C
麻黄碱是从（ ）原植物中提取的 。,C
众多种类的毒品之中有很多的致幻类药品，已知药力最强的致幻剂是（ ）。,C
"（ ）,即甲基苯丙胺，纯品外观为无色晶体,晶莹剔透。",B
